id;name;created_date;product_size;price;gender;color;last_modified_date;created_by;last_modified_by;category_id
1;Steel;2023-01-01T21:12:08;calculating cross-platform Principal;35091;wireless Handmade;ivory;2023-01-01T06:32:30;63950;22076;1
2;Track actuating deposit;2023-01-01T18:03:40;Steel;66812;applications Metical;blue;2023-01-01T21:03:51;94707;54662;2
3;Internal intermediate;2023-01-01T21:29:02;green Malagasy;32770;Drive Australian;mint green;2023-01-01T23:10:17;6446;78661;3
4;Rubber;2023-01-01T05:54:07;orange Practical;80588;distributed indigo JSON;salmon;2023-01-01T14:00:11;94655;20809;4
5;Awesome;2023-01-01T16:05:26;Prairie;14557;CSS Bike;purple;2023-01-01T17:25:44;88935;46377;5
6;Intelligent;2023-01-01T07:34:07;Checking Account Renminbi;33734;multi-byte Underpass project;gold;2023-01-02T00:38:51;8650;36445;6
7;Sleek metrics;2023-01-01T05:48:38;Data;77577;grey solution;azure;2023-01-01T15:14:58;41021;62316;7
8;Gorgeous;2023-01-02T03:05:23;Ergonomic relationships back-end;91979;Ukraine;silver;2023-01-02T03:06:02;788;16003;8
9;Balboa Mobility Arkansas;2023-01-02T04:26:03;Outdoors Global;1215;Rustic magenta transitional;indigo;2023-01-01T08:21:31;10899;41751;9
10;Solutions Tuvalu online;2023-01-01T14:28:36;Frozen Sausages;15800;Administrator CFA;turquoise;2023-01-01T12:34:13;17338;29142;10
