id;name;description;created_date;last_modified_date;created_by;last_modified_by
1;Table;open-source;2023-01-02T00:17:10;2023-01-01T05:48:16;22022;75530
2;Refined metrics e-commerce;Chief;2023-01-01T08:37:09;2023-01-01T07:32:09;51065;38427
3;Planner;synthesize Electronics;2023-01-01T08:28:53;2023-01-02T00:48:20;59168;55021
4;Regional;Georgia Hat;2023-01-01T14:38:02;2023-01-01T06:28:16;4561;94420
5;Indiana Designer;front-end Verde Mexico;2023-01-01T13:13:55;2023-01-02T03:52:43;12226;85213
6;Bedfordshire Investor;Front-line plug-and-play Versatile;2023-01-01T10:19:00;2023-01-02T02:34:02;12216;57740
7;payment;throughput Berkshire Tonga;2023-01-01T13:25:05;2023-01-01T17:48:19;25972;41344
8;Open-source Baby Borders;SQL Avon;2023-01-02T02:07:15;2023-01-02T00:10:50;91423;46895
9;feed Kids;Fresh;2023-01-01T22:13:01;2023-01-01T07:20:06;34646;72062
10;blue Chief;Nebraska;2023-01-01T06:49:42;2023-01-02T02:06:01;95453;50179
